Rank,Player Team (Bye),POS,CBS,Sleeper,RTSports,AVG
1,Christian McCaffrey SF (9),RB1,,1,1,1.0
2,CeeDee Lamb DAL (7),WR1,,2,2,2.0
3,Tyreek Hill MIA (6),WR2,,3,3,3.0
4,Justin Jefferson MIN (6),WR3,,4,6,5.0
5,Breece Hall NYJ (12),RB2,,8,4,6.0
6,Bijan Robinson ATL (12),RB3,,7,5,6.0
7,Amon-Ra St. Brown DET (5),WR4,,5,8,6.5
8,Ja'Marr Chase CIN (12),WR5,,6,7,6.5
9,A.J. Brown PHI (5),WR6,,9,10,9.5
10,Puka Nacua LAR (6),WR7,,11,9,10.0
11,Jahmyr Gibbs DET (5),RB4,,10,13,11.5
12,Saquon Barkley PHI (5),RB5,,14,11,12.5
13,Jonathan Taylor IND (14),RB6,,13,12,12.5
14,Garrett Wilson NYJ (12),WR8,,12,14,13.0
15,Davante Adams LV (10),WR9,,17,15,16.0
16,Marvin Harrison Jr. ARI (11),WR10,,15,20,17.5
17,Josh Allen BUF (12),QB1,,19,16,17.5
18,Kyren Williams LAR (6),RB7,,16,19,17.5
19,Travis Etienne Jr. JAC (12),RB8,,20,17,18.5
20,De'Von Achane MIA (6),RB9,,23,18,20.5
21,Chris Olave NO (12),WR11,,21,24,22.5
22,Sam LaPorta DET (5),TE1,,24,21,22.5
23,Drake London ATL (12),WR12,,18,29,23.5
24,Derrick Henry BAL (14),RB10,,25,23,24.0
25,Josh Jacobs GB (10),RB11,,26,26,26.0
26,Jalen Hurts PHI (5),QB2,,31,22,26.5
27,Deebo Samuel Sr. SF (9),WR13,,30,25,27.5
28,Nico Collins HOU (14),WR14,,28,27,27.5
29,Travis Kelce KC (6),TE2,,27,30,28.5
30,Brandon Aiyuk SF (9),WR15,,22,40,31.0
31,Isiah Pacheco KC (6),RB12,,32,32,32.0
32,Patrick Mahomes II KC (6),QB3,,35,31,33.0
33,Michael Pittman Jr. IND (14),WR16,,40,28,34.0
34,Mike Evans TB (11),WR17,,29,39,34.0
35,Stefon Diggs HOU (14),WR18,,33,36,34.5
36,Lamar Jackson BAL (14),QB4,,37,33,35.0
37,Jaylen Waddle MIA (6),WR19,,34,38,36.0
38,Rachaad White TB (11),RB13,,39,34,36.5
39,DK Metcalf SEA (10),WR20,,41,37,39.0
40,James Cook BUF (12),RB14,,44,35,39.5
41,DJ Moore CHI (7),WR21,,36,43,39.5
42,Cooper Kupp LAR (6),WR22,,42,41,41.5
43,DeVonta Smith PHI (5),WR23,,43,42,42.5
44,Trey McBride ARI (11),TE3,,46,44,45.0
45,C.J. Stroud HOU (14),QB5,,45,46,45.5
46,Kenneth Walker III SEA (10),RB15,,49,45,47.0
47,Joe Mixon HOU (14),RB16,,47,50,48.5
48,Mark Andrews BAL (14),TE4,,48,49,48.5
49,Malik Nabers NYG (11),WR24,,38,61,49.5
50,Anthony Richardson IND (14),QB6,,54,47,50.5
51,Alvin Kamara NO (12),RB17,,53,48,50.5
52,Dalton Kincaid BUF (12),TE5,,51,51,51.0
53,Zay Flowers BAL (14),WR25,,50,60,55.0
54,Amari Cooper CLE (10),WR26,,57,53,55.0
55,George Pickens PIT (9),WR27,,56,54,55.0
56,Aaron Jones MIN (6),RB18,,59,56,57.5
57,Tee Higgins CIN (12),WR28,,55,62,58.5
58,Joe Burrow CIN (12),QB7,,63,57,60.0
59,Rhamondre Stevenson NE (14),RB19,,69,52,60.5
60,Kyle Pitts ATL (12),TE6,,58,63,60.5
61,D'Andre Swift CHI (7),RB20,,67,58,62.5
62,George Kittle SF (9),TE7,,62,67,64.5
63,Keenan Allen CHI (7),WR29,,60,70,65.0
64,Tank Dell HOU (14),WR30,,52,80,66.0
65,Dak Prescott DAL (7),QB8,,74,59,66.5
66,James Conner ARI (11),RB21,,61,72,66.5
67,Evan Engram JAC (12),TE8,,71,66,68.5
68,Christian Kirk JAC (12),WR31,,64,75,69.5
69,David Montgomery DET (5),RB22,,65,74,69.5
70,Terry McLaurin WAS (14),WR32,,66,73,69.5
71,Jordan Love GB (10),QB9,,85,55,70.0
72,Najee Harris PIT (9),RB23,,75,65,70.0
73,Kyler Murray ARI (11),QB10,,73,68,70.5
74,Chris Godwin TB (11),WR33,,78,64,71.0
75,Zamir White LV (10),RB24,,77,71,74.0
76,Jayden Reed GB (10),WR34,,70,82,76.0
77,Calvin Ridley TEN (5),WR35,,81,76,78.5
78,Zack Moss CIN (12),RB25,,92,69,80.5
79,Jonathon Brooks CAR (11),RB26,,87,79,83.0
80,Hollywood Brown KC (6),WR36,,79,88,83.5
81,Raheem Mostert MIA (6),RB27,,84,83,83.5
82,Tony Pollard TEN (5),RB28,,83,85,84.0
83,Jaylen Warren PIT (9),RB29,,97,77,87.0
84,Jordan Addison MIN (6),WR37,,72,103,87.5
85,Rashee Rice KC (6),WR38,,82,93,87.5
86,Jake Ferguson DAL (7),TE9,,89,87,88.0
87,David Njoku CLE (10),TE10,,88,90,89.0
88,Austin Ekeler WAS (14),RB30,,98,81,89.5
89,Xavier Worthy KC (6),WR39,,76,104,90.0
90,DeAndre Hopkins TEN (5),WR40,,94,86,90.0
91,Diontae Johnson CAR (11),WR41,,91,89,90.0
92,Devin Singletary NYG (11),RB31,,103,78,90.5
93,Nick Chubb CLE (10),RB32,,90,91,90.5
94,Brock Purdy SF (9),QB11,,100,84,92.0
95,Ladd McConkey LAC (5),WR42,,86,98,92.0
96,Brock Bowers LV (10),TE11,,80,106,93.0
97,Javonte Williams DEN (14),RB33,,93,97,95.0
98,Christian Watson GB (10),WR43,,101,95,98.0
99,Caleb Williams CHI (7),QB12,,95,102,98.5
100,Rome Odunze CHI (7),WR44,,68,130,99.0
101,Brian Robinson Jr. WAS (14),RB34,,107,94,100.5
102,Jared Goff DET (5),QB13,,112,92,102.0
103,Tua Tagovailoa MIA (6),QB14,,105,100,102.5
104,Tyjae Spears TEN (5),RB35,,108,99,103.5
105,Jayden Daniels WAS (14),QB15,,113,96,104.5
